alpha,hidden layers,test max error,test min error,test avg error,test R2 error,train max error,train min error,train avg error,train R2 error,false positives,false negatives
2.0,[],0.9998532690731835,1.2906981394777972e-07,0.23672088326103777,0.05635596934666842,0.9984956135712144,1.7114258452981688e-12,0.14662249985399833,0.5200940437768213,7,296
2.0,[20],0.9999851687319243,7.603166703183981e-10,0.1636409601025675,0.4059212054177034,0.9999461536561891,4.466761251704707e-16,0.09340137458970202,0.6874546993802454,13,152
2.0,[40],0.999999871684472,8.846101470961607e-11,0.16312746265359185,0.41216206849407755,0.9999340301002173,1.482160439036331e-20,0.09440114652772738,0.6834598625595636,13,158
2.0,[60],0.9999999727348147,7.602979823841597e-13,0.20157354199844416,0.2627588908507801,0.9996452097562142,6.485234942402049e-26,0.10713477788202996,0.717276722910793,7,260
2.0,"[20, 20]",0.9983498129660743,7.200384479960119e-05,0.19581601019829853,0.295289418027462,0.9985199321046289,1.5026615509898166e-07,0.11177009474817065,0.6634280692046772,9,215
2.0,"[40, 40]",0.9999999816551642,1.8344538443848535e-08,0.301665041557118,-1.64658149173629e+23,0.9999999999999929,7.112243550435007e-15,0.30726256983240213,-1.433752783086092e+36,308,0
2.0,"[60, 60]",1.0,0.0,0.30166503428011754,-inf,0.9999999999999816,1.8457038021148453e-14,0.3072625698324006,-1.2143272858215375e+41,308,0
0.5,[],0.9874282251589055,8.47884514598718e-05,0.29774424478527933,-0.4890689275253872,0.9972623201720604,1.391219633190711e-07,0.19279295396739773,0.20217665992936906,5,401
0.5,[20],0.9999980984097278,8.660244065019318e-08,0.19535525530886305,0.29618167486808467,0.9993230675970655,5.883966402376328e-11,0.11302072039310525,0.6682591135700717,9,218
0.5,[40],0.9999997460763198,7.211487629277258e-09,0.19512062450077855,0.29691532910151863,0.9995207838019832,1.5248597359706082e-12,0.11295996280827275,0.6683122228280234,8,218
0.5,[60],0.9999999274827952,8.206329282778313e-09,0.1943535475580448,0.3009162181751954,0.9994860420743354,1.1270748124384313e-13,0.11178402815158807,0.6731609557826223,9,221
0.5,"[20, 20]",0.9474518175693294,0.038415794560534566,0.3440795107964879,-2.326266911231955,0.980227937481628,0.004025807139466071,0.2668443913488352,-5.715192715774155,19,383
0.5,"[40, 40]",0.9999999999041754,9.58249013718257e-11,0.698334965681868,-1.7111704150377923e+29,0.9348973918560681,0.0651026153872446,0.6676418786891011,-18759865739930.332,0,713
0.5,"[60, 60]",0.9999999271035702,7.289643043727809e-08,0.6983349368040564,-1.0925037089457701e+28,0.5821095822029376,0.4178904179736772,0.5316511677515866,-2792060241187147.0,0,713
0.1,[],0.9447983520616486,0.012140484631469106,0.3892608391421857,-2.414413404080594,0.9732929259808959,0.000548454152735682,0.26605082983666634,-0.9252171206070361,3,589
0.1,[20],0.9852998916918371,0.003947699836124197,0.30378664885053586,-0.5557785824079666,0.9864882605046643,0.0002598529288312834,0.1938841043732782,0.18667546197311669,7,392
0.1,[40],0.9937289545924226,0.0009691243177267772,0.29895285558520235,-0.5011943690385314,0.9948235693163384,0.00011891623864134807,0.19070686055231945,0.21504390208554958,6,387
0.1,[60],0.98574296133812,0.001221320087931077,0.300744785602983,-0.5180783326061664,0.988315531198342,0.00018706689531619466,0.19160726775124648,0.207154714664058,7,396
0.1,"[20, 20]",0.6927285118290538,0.3072833393812679,0.5764409467008645,-1178515342.4170058,0.6927285312886962,0.3072722935086126,0.4257314899740939,-622052306.5821593,0,713
0.1,"[40, 40]",0.6927384730993548,0.307261526090001,0.576452892711761,-2650125744969.2827,0.6927384689314697,0.3072615256962149,0.42570452880543724,-1281483904091.9165,0,713
0.1,"[60, 60]",0.9445022039816243,0.05549779601872132,0.676320658778016,-2.0123877298875503e+19,0.5590273450510577,0.4409726549611832,0.5227535570032932,-3.122390352035363e+17,0,713
0.01,[],0.7873687527896107,0.2000120855677275,0.5153304113123678,-30.793941839418565,0.7887858328377901,0.14756421798420824,0.3803672737079953,-22.172073475986974,0,713
0.01,[20],0.7032877886948901,0.29148657013792034,0.5665902532387259,-2637.973795265624,0.7034935287002426,0.2712316775301868,0.42365206301766556,-1635.6137284389288,0,713
0.01,[40],0.7384183693438868,0.258705602113812,0.5487973461946386,-198.0731665496433,0.7338699140811499,0.2397936807494454,0.40953098379251174,-144.08364622243406,0,713
0.01,[60],0.7218874960775312,0.2452545205590146,0.5547667716901249,-354.0863491468442,0.7399410475323787,0.23774367804472035,0.4131810576896447,-207.12175556627554,0,713
0.01,"[20, 20]",0.6928767572250356,0.307123206836662,0.5763979929010119,-56981801.50270895,0.6928764512297245,0.30712319636461555,0.42569716358906085,-32378128.741310794,0,713
0.01,"[40, 40]",0.6927374696970354,0.3072625253156549,0.5764531554493689,-13110678642844.447,0.6927374818136348,0.3072625002089944,0.4257046690311373,-5201134882330.369,0,713
0.01,"[60, 60]",0.6927374314998969,0.3072625684988475,0.5764531429605414,-2.3931650444485473e+18,0.6927374314940626,0.30726256849821953,0.4257045659907343,-1.0452877424889326e+18,0,713
0.001,[],0.663070934563748,0.16807699411731003,0.5070987255250854,-67.73867422762584,0.9714009405658658,0.33539729010827046,0.46395969406886034,-37.80510010061402,0,712
0.001,[20],0.7117678157645324,0.29220338440143556,0.5754092245973168,-8647.333431113024,0.7116297575216255,0.2898468908579693,0.43039201796734516,-5639.084641559625,0,713
0.001,[40],0.7229905353410618,0.2732422561585668,0.574631297641965,-4415.84285806857,0.7178474229317116,0.25843159821878015,0.4273261959441325,-2147.1022786359877,0,713
0.001,[60],0.7385743191498708,0.2971084006627756,0.5756146949842742,-4324.431605658573,0.7355158548411787,0.2688209283388196,0.43074570483913216,-1342.4654931151301,0,713
0.001,"[20, 20]",0.692926305926684,0.30707361081681656,0.5763970053810789,-42626816.71080301,0.6929258024922907,0.30707356955996856,0.42569766750972615,-22293016.025988575,0,713
0.001,"[40, 40]",0.6927378366532886,0.3072622650804623,0.576453239646432,-2393872407136.3228,0.6927378260688342,0.30726214591597173,0.4257047563735815,-1114973843713.323,0,713
0.001,"[60, 60]",0.6927374306136684,0.3072625694231698,0.5764531433667851,-8.629910737836379e+17,0.6927374306111376,0.30726256938329793,0.425704566330288,-3.562824721142682e+17,0,713
0.0001,[],0.7997494598708974,0.07124796822912238,0.40051303552047063,-65.7823843351106,0.9918366839482041,0.11430877623152202,0.5622960849454703,-103.75983153163332,0,664
0.0001,[20],0.8671624321718693,0.1045833429465991,0.35878953040705136,-863.6117856440032,0.9101693779549843,0.1081329468331883,0.6265895558067646,-1748.6373579947492,308,0
0.0001,[40],0.9984485649110239,0.0006593630508584525,0.3025088932123891,-170809.61283923592,0.9996790282354119,0.0007981808947039593,0.6910159300591214,-359934.59880121023,308,0
0.0001,[60],0.9997117216927504,8.741318478244775e-05,0.30184036181378954,-1663818.0641616243,0.9999598141017965,0.00012134826982146407,0.6922721844491593,-3500857.91069174,308,0
0.0001,"[20, 20]",0.8607114875883312,0.13924141109390464,0.3569283611448365,-35199904.204851635,0.8610493763243382,0.13897116589242675,0.6390830108850623,-70539928.86657484,308,0
0.0001,"[40, 40]",0.9399194825101226,0.0600804907495992,0.3254971824282552,-8283802730392.747,0.9402119391470518,0.059788069614387096,0.6696904803530866,-14949341887809.004,308,0
0.0001,"[60, 60]",0.9976389778565703,0.0023610221418546296,0.3026015807717475,-2.958262395416768e+20,0.9976587344741904,0.0023412655260340864,0.6918349311445802,-4.5666661216173464e+20,308,0
